iter	Logloss
0	0.6063236721
1	0.5389312033
2	0.4748970569
3	0.4349509833
4	0.4048219529
5	0.3822153409
6	0.3649864722
7	0.3505036503
8	0.3308634061
9	0.3212057121
10	0.3140522259
11	0.3076253165
12	0.2990203777
13	0.2938062749
14	0.2849689174
15	0.28249678
16	0.2798774927
17	0.2773339405
18	0.2754883156
19	0.2738908722
20	0.2723937417
21	0.2702684793
22	0.2658729619
23	0.2625094672
24	0.2607633765
25	0.2596090885
26	0.2585803097
27	0.2559149044
28	0.2545483407
29	0.2535314485
30	0.2525122953
31	0.2514051568
32	0.2500982247
33	0.2486831063
34	0.2481197456
35	0.2468808784
36	0.244958779
37	0.2431253699
38	0.2425112258
39	0.2411013787
40	0.2406665029
41	0.2401464421
42	0.2395072018
43	0.2389995081
44	0.2380255957
45	0.2373988185
46	0.2367276956
47	0.2358586874
48	0.235338045
49	0.2342661146
50	0.2336484287
51	0.233135337
52	0.2321027177
53	0.2314652375
54	0.2304672042
55	0.2299922929
56	0.2296670467
57	0.2292579151
58	0.2289939135
59	0.2286437216
60	0.2279351851
61	0.2275622439
62	0.2271532848
63	0.2268727174
64	0.2265348916
65	0.2262125121
66	0.2255911256
67	0.2250445781
68	0.2247617081
69	0.2245302502
70	0.2240528275
71	0.2237803863
72	0.2234054755
73	0.2229855172
74	0.2227205362
75	0.2225085645
76	0.2222578902
77	0.2220387622
78	0.2217635025
79	0.2215195931
80	0.2212809328
81	0.2208475654
82	0.2204619295
83	0.2201147746
84	0.2196427436
85	0.2193386176
86	0.2191677794
87	0.2190033909
88	0.2186222259
89	0.2180774447
90	0.2178168083
91	0.2175651245
92	0.2172726011
93	0.217011793
94	0.216496928
95	0.2160736189
96	0.2157719965
97	0.2154230025
98	0.2149922718
99	0.2147545776
100	0.2145779875
101	0.214369624
102	0.2141691715
103	0.2140239841
104	0.2137170136
105	0.2134671025
106	0.2133209271
107	0.2131456104
108	0.2130048346
109	0.2127757404
110	0.2126233834
111	0.2123711582
112	0.2121739481
113	0.2119755619
114	0.2118003059
115	0.2115489125
