iter	Passed	Remaining
398	112440	169365
399	112698	169048
400	112967	168746
401	113216	168416
402	113483	168113
403	113771	167841
404	114064	167575
405	114363	167320
406	114652	167048
407	114942	166779
408	115220	166492
409	115501	166209
410	115784	165930
411	116069	165652
412	116332	165344
413	116610	165057
414	116850	164717
415	117142	164450
416	117422	164166
417	117707	163888
418	118002	163626
419	118295	163360
420	118592	163099
421	118877	162822
422	119122	162491
423	119366	162157
424	119623	161843
425	119884	161534
426	120160	161245
427	120420	160936
428	120707	160662
429	121003	160400
430	121295	160132
431	121568	159839
432	121847	159555
433	122123	159266
434	122413	158996
435	122692	158712
436	122979	158438
437	123247	158138
438	123516	157842
439	123812	157580
440	124108	157316
441	124383	157027
442	124668	156750
443	124966	156489
444	125215	156168
445	125471	155854
446	125733	155549
447	125980	155226
448	126254	154936
449	126540	154660
450	126820	154377
451	127105	154101
452	127386	153819
453	127667	153537
454	127937	153243
455	128229	152975
456	128484	152663
457	128764	152381
458	129054	152109
459	129348	151844
460	129641	151576
461	129934	151309
462	130214	151025
463	130504	150754
464	130790	150479
465	131070	150197
466	131338	149900
467	131621	149621
468	131872	149305
469	132119	148985
470	132380	148681
471	132671	148412
472	132956	148134
473	133244	147861
474	133544	147601
475	133824	147319
476	134105	147037
477	134377	146747
478	134644	146450
479	134937	146182
480	135224	145907
481	135510	145631
482	135802	145361
483	136088	145085
484	136372	144807
485	136661	144534
486	136948	144260
487	137238	143987
488	137536	143724
489	137812	143437
490	138083	143145
491	138360	142860
492	138623	142559
493	138874	142247
494	139159	141971
495	139450	141699
496	139733	141420
497	140028	141153
498	140309	140871
499	140579	140579
500	140851	140289
501	141129	140004
502	141417	139730
503	141687	139438
504	141987	139176
505	142267	138893
506	142566	138629
507	142853	138354
508	143130	138068
509	143414	137790
510	143691	137505
511	143961	137213
512	144231	136921
513	144484	136613
514	144732	136301
515	144994	136002
516	145282	135728
517	145579	135462
518	145871	135191
519	146170	134926
520	146454	134648
521	146703	134337
522	146953	134028
523	147230	133743
524	147522	133472
525	147811	133198
526	148096	132921
527	148391	132653
528	148691	132388
529	148999	132131
530	149292	131861
531	149572	131578
532	149874	131316
533	150157	131036
534	150414	130734
535	150690	130448
536	150945	130144
537	151199	129840
538	151491	129568
539	151785	129298
540	152068	129019
541	152354	128742
542	152640	128465
543	152926	128188
544	153200	127901
545	153475	127614
546	153746	127325
547	154034	127050
548	154314	126768
549	154604	126494
550	154907	126231
551	155203	125962
552	155503	125696
553	155799	125426
554	156091	125154
555	156357	124860
556	156626	124569
557	156888	124274
558	157143	123972
559	157407	123677
560	157698	123403
561	157988	123129
562	158291	122865
563	158587	122595
564	158865	122312
565	159131	122019
566	159408	121734
567	159695	121458
568	159980	121179
569	160256	120895
570	160554	120627
571	160852	120357
572	161142	120083
573	161439	119813
574	161725	119536
575	162033	119274
576	162329	119003
577	162601	118716
578	162874	118428
579	163130	118129
580	163393	117834
581	163653	117538
582	163932	117254
583	164226	116983
584	164521	116711
585	164811	116436
586	165096	116158
587	165361	115865
588	165642	115584
589	165928	115306
590	166208	115023
591	166483	114738
592	166781	114468
593	167074	114195
594	167341	113904
595	167644	113638
596	167945	113370
597	168230	113091
598	168522	112817
599	168811	112541
600	169076	112248
601	169330	111949
602	169594	111656
603	169862	111366
604	170123	111072
605	170414	110797
606	170716	110529
607	170973	110232
608	171226	109933
609	171498	109646
610	171776	109363
611	172047	109075
612	172322	108790
613	172604	108510
614	172898	108237
615	173187	107961
616	173478	107686
617	173784	107420
618	174069	107141
619	174354	106862
620	174658	106595
621	174955	106323
622	175210	106026
623	175478	105737
624	175738	105442
625	175997	105148
626	176263	104858
627	176559	104586
628	176847	104308
629	177143	104036
630	177439	103764
631	177718	103481
632	178004	103203
633	178295	102927
634	178569	102642
635	178836	102352
636	179108	102066
637	179396	101789
638	179686	101513
639	179982	101240
640	180273	100964
641	180546	100678
642	180837	100403
643	181118	100121
644	181383	99831
645	181645	99539
646	181890	99238
647	182148	98944
648	182408	98652
649	182689	98371
650	182957	98083
651	183237	97801
652	183520	97521
653	183800	97240
654	184083	96959
655	184370	96682
656	184645	96398
657	184927	96117
658	185213	95838
659	185468	95544
660	185742	95259
661	186014	94974
662	186286	94688
663	186549	94398
664	186824	94114
665	187115	93838
666	187402	93560
667	187690	93283
668	187962	92998
669	188223	92707
670	188505	92426
671	188771	92138
672	189060	91861
673	189340	91579
674	189629	91303
675	189905	91019
676	190195	90742
677	190482	90465
678	190765	90185
679	191047	89904
680	191338	89628
681	191633	89353
682	191921	89076
683	192215	88801
684	192508	88525
685	192804	88251
686	193089	87972
687	193385	87698
688	193683	87424
689	193973	87147
690	194241	86860
691	194512	86574
692	194765	86281
693	195030	85993
694	195308	85710
695	195597	85433
696	195877	85151
697	196162	84872
698	196443	84591
699	196733	84314
700	196999	84026
701	197290	83749
702	197573	83469
703	197844	83184
704	198140	82909
705	198430	82632
706	198725	82357
707	199007	82076
708	199300	81800
709	199583	81520
710	199877	81244
711	200162	80964
712	200423	80675
713	200678	80383
714	200938	80094
715	201192	79802
716	201441	79508
717	201712	79224
718	202008	78948
719	202308	78675
720	202590	78395
721	202849	78105
722	203114	77818
723	203389	77535
724	203668	77253
725	203955	76974
726	204242	76696
727	204529	76417
728	204816	76139
729	205105	75860
730	205397	75584
731	205689	75307
732	205969	75025
733	206263	74749
734	206548	74469
735	206824	74186
736	207082	73897
737	207353	73613
738	207603	73321
739	207891	73042
740	208183	72765
741	208463	72484
742	208752	72206
743	209026	71923
744	209300	71639
745	209601	71365
746	209878	71083
747	210178	70808
748	210465	70529
749	210762	70254
750	211047	69974
751	211328	69693
752	211619	69415
753	211888	69130
754	212144	68841
755	212441	68565
756	212719	68283
757	212990	67999
758	213244	67710
759	213509	67423
760	213780	67139
761	214055	66857
762	214357	66583
763	214656	66307
764	214955	66031
765	215246	65754
766	215538	65476
767	215820	65195
768	216097	64913
769	216380	64633
770	216678	64357
771	216955	64074
772	217242	63795
773	217512	63511
774	217801	63232
775	218092	62954
776	218384	62676
777	218668	62396
778	218970	62121
779	219232	61834
780	219496	61548
781	219762	61263
782	220022	60976
783	220296	60694
784	220600	60419
785	220896	60142
786	221178	59861
787	221466	59582
788	221738	59298
789	222014	59016
790	222287	58733
791	222563	58450
792	222864	58175
793	223140	57893
794	223429	57613
795	223712	57333
796	223993	57052
797	224286	56774
798	224587	56498
799	224880	56220
800	225174	55942
801	225438	55656
802	225699	55370
803	225957	55084
804	226219	54798
805	226485	54513
806	226773	54234
807	227069	53957
808	227356	53677
809	227639	53396
810	227919	53115
811	228198	52834
812	228472	52551
813	228751	52269
814	229032	51988
815	229328	51711
816	229620	51432
817	229891	51149
818	230184	50871
819	230463	50589
820	230745	50308
821	231024	50027
822	231304	49745
823	231564	49460
824	231841	49178
825	232102	48893
826	232365	48608
827	232624	48323
828	232923	48045
829	233209	47765
830	233504	47487
831	233789	47207
832	234059	46924
833	234346	46644
834	234627	46363
835	234896	46080
836	235176	45799
837	235469	45520
838	235756	45240
839	236048	44961
840	236325	44679
841	236610	44399
842	236907	44121
843	237191	43841
844	237485	43562
845	237770	43282
846	238042	42999
847	238301	42714
848	238573	42431
849	238833	42147
850	239092	41862
851	239361	41579
852	239644	41298
853	239940	41020
854	240205	40736
855	240475	40453
856	240756	40172
857	241036	39891
858	241314	39610
859	241595	39329
860	241882	39049
861	242161	38768
862	242437	38486
863	242732	38207
864	243021	37928
865	243316	37649
866	243625	37372
867	243917	37093
868	244190	36811
869	244457	36528
870	244728	36245
871	244990	35961
872	245259	35679
873	245529	35396
874	245831	35118
875	246127	34839
876	246417	34560
877	246697	34279
878	246976	33997
879	247254	33716
880	247533	33435
881	247801	33152
882	248095	32873
883	248381	32593
884	248670	32313
885	248968	32034
886	249270	31755
887	249555	31475
888	249847	31195
889	250140	30916
890	250439	30637
891	250707	30354
892	250968	30071
893	251223	29787
894	251471	29502
895	251735	29219
896	252028	28939
897	252310	28658
898	252599	28378
899	252875	28097
900	253144	27814
901	253418	27533
902	253688	27251
903	253970	26970
904	254269	26691
905	254565	26411
906	254839	26130
907	255133	25850
908	255413	25569
909	255694	25288
910	255980	25007
911	256281	24728
912	256570	24448
913	256822	24164
914	257086	23882
915	257353	23600
916	257609	23316
917	257865	23033
918	258158	22753
919	258458	22474
920	258745	22194
921	259022	21912
922	259300	21631
923	259579	21350
924	259864	21070
925	260137	20788
926	260424	20508
927	260707	20227
928	261005	19947
929	261293	19667
930	261578	19386
931	261876	19106
932	262156	18825
933	262458	18546
934	262755	18266
935	263056	17986
936	263305	17703
937	263579	17422
